taxonomy_dimension,category,model_slot,provider,requested_model_id,category_count,valid_responses,prevalence_among_valid,prevalence_wilson_ci_low,prevalence_wilson_ci_high,error_responses,composition_among_errors,composition_wilson_ci_low,composition_wilson_ci_high,inference_status
semantic_target,PLACE_ACTOR_RELATION,S02,openai,gpt-5.4-mini-2026-03-17,4,72,0.05555555555555555,0.021814215981316665,0.13432015965997912,39,0.10256410256410256,0.04061331344668381,0.23578854462856524,EXPLORATORY_DESCRIPTIVE
semantic_target,PLACE_ACTOR_RELATION,S03,anthropic,claude-sonnet-5,5,72,0.06944444444444445,0.030025381565770105,0.15247979483673518,39,0.1282051282051282,0.05602817536971395,0.2670574337974545,EXPLORATORY_DESCRIPTIVE
semantic_target,PLACE_ACTOR_RELATION,S04,anthropic,claude-haiku-4-5-20251001,5,72,0.06944444444444445,0.030025381565770105,0.15247979483673518,30,0.16666666666666666,0.0733654237184855,0.3356435050641603,EXPLORATORY_DESCRIPTIVE
semantic_target,PLACE_ACTOR_RELATION,S05,google,gemini-3.6-flash,1,72,0.013888888888888888,0.002455951882905775,0.07456602147476152,23,0.043478260869565216,0.007716666143453135,0.20991155070258868,EXPLORATORY_DESCRIPTIVE
semantic_target,PLACE_ACTOR_RELATION,S06,google,gemini-3.5-flash-lite,3,71,0.04225352112676056,0.01447326062047533,0.11702416040484678,24,0.125,0.043443340801234416,0.3100388127050006,EXPLORATORY_DESCRIPTIVE
semantic_target,PLACE_ACTOR_RELATION,S07,groq,openai/gpt-oss-120b,11,71,0.15492957746478872,0.08877304270169771,0.2565096285327758,52,0.21153846153846154,0.12244370532487489,0.34032104628504567,EXPLORATORY_DESCRIPTIVE
semantic_target,PLACE_ACTOR_RELATION,S08,groq,qwen/qwen3.6-27b,12,72,0.16666666666666666,0.09799371242561684,0.26910706930535494,56,0.21428571428571427,0.1270590424909565,0.33819463563405117,EXPLORATORY_DESCRIPTIVE
semantic_target,TECHNIQUE_TOOL_PROCESS,S01,openai,gpt-5.5-2026-04-23,4,72,0.05555555555555555,0.021814215981316665,0.13432015965997912,20,0.2,0.08065766257979808,0.4160174322518935,EXPLORATORY_DESCRIPTIVE
semantic_target,TECHNIQUE_TOOL_PROCESS,S02,openai,gpt-5.4-mini-2026-03-17,8,72,0.1111111111111111,0.057388196349493485,0.20422938233664034,39,0.20512820512820512,0.10779718230710386,0.3553396801358229,EXPLORATORY_DESCRIPTIVE
semantic_target,TECHNIQUE_TOOL_PROCESS,S03,anthropic,claude-sonnet-5,5,72,0.06944444444444445,0.030025381565770105,0.15247979483673518,39,0.1282051282051282,0.05602817536971395,0.2670574337974545,EXPLORATORY_DESCRIPTIVE
semantic_target,TECHNIQUE_TOOL_PROCESS,S04,anthropic,claude-haiku-4-5-20251001,8,72,0.1111111111111111,0.057388196349493485,0.20422938233664034,30,0.26666666666666666,0.14182663319596328,0.4444796169518888,EXPLORATORY_DESCRIPTIVE
semantic_target,TECHNIQUE_TOOL_PROCESS,S05,google,gemini-3.6-flash,2,72,0.027777777777777776,0.007651021904494578,0.09574175221438222,23,0.08695652173913043,0.024180004484220367,0.2679598107574366,EXPLORATORY_DESCRIPTIVE
semantic_target,TECHNIQUE_TOOL_PROCESS,S06,google,gemini-3.5-flash-lite,4,71,0.056338028169014086,0.022124519301696653,0.13609605799976943,24,0.16666666666666666,0.06678676328632953,0.35853070649699054,EXPLORATORY_DESCRIPTIVE
semantic_target,TECHNIQUE_TOOL_PROCESS,S07,groq,openai/gpt-oss-120b,9,71,0.1267605633802817,0.06814527589564844,0.22369108278653727,52,0.17307692307692307,0.09382474391310205,0.2973086412448079,EXPLORATORY_DESCRIPTIVE
semantic_target,TECHNIQUE_TOOL_PROCESS,S08,groq,qwen/qwen3.6-27b,5,72,0.06944444444444445,0.030025381565770105,0.15247979483673518,56,0.08928571428571429,0.03874214844958693,0.19256001385511157,EXPLORATORY_DESCRIPTIVE
semantic_target,TERMINOLOGY_ENTITY,S01,openai,gpt-5.5-2026-04-23,5,72,0.06944444444444445,0.030025381565770105,0.15247979483673518,20,0.25,0.11186170140766569,0.46870087761874396,EXPLORATORY_DESCRIPTIVE
semantic_target,TERMINOLOGY_ENTITY,S02,openai,gpt-5.4-mini-2026-03-17,8,72,0.1111111111111111,0.057388196349493485,0.20422938233664034,39,0.20512820512820512,0.10779718230710386,0.3553396801358229,EXPLORATORY_DESCRIPTIVE
semantic_target,TERMINOLOGY_ENTITY,S03,anthropic,claude-sonnet-5,6,72,0.08333333333333333,0.038752424956949666,0.17012355220676512,39,0.15384615384615385,0.07247472376982102,0.2972946364892669,EXPLORATORY_DESCRIPTIVE
semantic_target,TERMINOLOGY_ENTITY,S04,anthropic,claude-haiku-4-5-20251001,4,72,0.05555555555555555,0.021814215981316665,0.13432015965997912,30,0.13333333333333333,0.05309655484054745,0.29681326682036296,EXPLORATORY_DESCRIPTIVE
semantic_target,TERMINOLOGY_ENTITY,S05,google,gemini-3.6-flash,5,72,0.06944444444444445,0.030025381565770105,0.15247979483673518,23,0.21739130434782608,0.09663978026586202,0.41903483016264,EXPLORATORY_DESCRIPTIVE
semantic_target,TERMINOLOGY_ENTITY,S06,google,gemini-3.5-flash-lite,4,71,0.056338028169014086,0.022124519301696653,0.13609605799976943,24,0.16666666666666666,0.06678676328632953,0.35853070649699054,EXPLORATORY_DESCRIPTIVE
semantic_target,TERMINOLOGY_ENTITY,S07,groq,openai/gpt-oss-120b,7,71,0.09859154929577464,0.04858282372396935,0.1898072224059285,52,0.1346153846153846,0.06676881705396144,0.2527332016519379,EXPLORATORY_DESCRIPTIVE
semantic_target,TERMINOLOGY_ENTITY,S08,groq,qwen/qwen3.6-27b,8,72,0.1111111111111111,0.057388196349493485,0.20422938233664034,56,0.14285714285714285,0.07420788536920624,0.2573592122870533,EXPLORATORY_DESCRIPTIVE
